Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Honduras,0,0,0,0,0,0,46,2.419767,46,0,0,4917.855,0,0,0,0,0
Guatemala,138107.7,0,0,2500688.25,2242964,32343.66,45,795683.3,45,0,0,0,0,0,26055.75,0,27754.79
Greece,137328.500291,87407.1693,71851.194,178270.657,160363.5824,171419.79379,78752.606933,350367.19269999996,155337.13,24225.020477,23968.146082499996,43349.6903,1918643.7799220001,744675.8371900001,138266.3848239,7544.292787,47076.3790284
Bosnia and Herzegovina,0,0,864.5231,0,0,0,41,1960.889,1068.928,3104.5429999999997,4662.2864,635.6569,1415.994,493.1919,90.91176,322.5361,0
Germany,64686.6741,39627.6269,87390.67177000002,130939.298066,145964.53336099998,115172.193032,200527.79119999998,199179.25578,181372.326,195963.193555,616789.003914,1051850.235933,1332652.5249,1353318.2084000001,814547.0197099998,65196255.9372,23617.90969
Gabon,14142.97,100.2603,10846.82,0,0,0,39,0,39,0,0,0,0,0,0,0,2933.903
French Polynesia,0,0,0,0,0,0,38,0,38,0,0,0,0,0,0,0,0
France,7980218.665000001,12942944.28498,53445504.15215,51137069.484339006,9047644.8126,430937.957832,6509408.4948,3811710.5038,18704318.215,664311.7091750001,1329902.8450000002,1387817.7994,1498397.9949999999,18277825.226,10846700.809510998,2835759.652208,18526108.12817
Finland,4.004318,23.714531,1.654414,4.682156,2.345423,1.613718,37.869995,44.38105,39.644661,3.140875,1165.9237799999999,346.122488,874.2662,2.089541,2.024096,2.048511,2.375584
Estonia,0,0,0,0,0,47.66891,34,774.3916,946.6074,206.4438,318.0814,420.1789,231.187409,169.2529,9.416592999999999,31.6198607,0
El Salvador,26306.23,44242.19,0,0,0,0,33,0,32,0,0,0,0,0,0,0,5286.6269999999995
Egypt,39503.552,127278.5,129449,161623.8,134234.2,207214.61881,168744.5,234686.3,163883.6,159728.7,340880.12649500003,371626.9,124782.6,3563043.895,142260.1,218523.8,13682.427
Ecuador,0,0,0,0,88.19967,0,31,0,30,0,0,0,0,0,0,0,0
Denmark,546.660842,3462.0447030000005,16989.209378,77471.936564,68195.90401500001,83140.21895499999,153525.474987,222052.896568,236638.255331,223315.9,295387.942165,170437,112261.709628,23405.460493000002,14322.64,32864.054,187.77783999999997
Azerbaijan,0,0,0,0,0,0,28,0,27,0,0,0,0,0,0,0.6989662,0
Cyprus,2823.3779999999997,5703.1669999999995,3699.785,1467.6660000000002,20994133,5919086,2194427,4763200,27.822331,21805.6219,3587.332,21.72916,0,56.29445,263.6646,660.8056,966.8655
Cuba,0,0,3887.3779999999997,0,35793.69,0,26,0,25,0,0,0,0,37245.88,22728.44,10244.67,0
Costa Rica,34806.86,14471.79,0,0,0,0,25,0,24,0,0,0,0,4508.951,0,0,11919.61
Colombia,6979.137,28313.072,0,13344.75,29839.81,40562.23,23563.46,8749.681999999999,1166.5668899999998,28016.47,116650.7,66474.83,52873.11,15783.14,32892.34,0,2390.005
"China, mainland",3584708,4718723,2378468.3397,5206511.5,3513180,5039808,3981459,4942543.8398,5113777,2604800.09,5505519.21741,4580275,3402660.009628,3204147.364771,2863240.5724227,4043479,1227583
Chile,60713.41,92814.3,101923.8,60787.78,79141.721537,120424.2,111715,117283.4,57239.14,14949.7,24569,59299.01,11413.15,2088.907,34167.07,39897.14,20791.3
Sri Lanka,498.0212,3314.6929,4515.7970000000005,458.2358,7.719268,115.48200000000001,21,1342.97,33585.526,13621.782000000001,8631.161,69.53331999999999,461.4551,8313.9217,46.04974,687.5006,199.6702
Canada,0,186.3035,168.53590000000003,105.6719,374.392415,541.1857,76.78378000000001,309.11206,1726.4794000000002,4479.424300000001,13139.3374,26637.14777,21717.7442,55218.4693,98589.808,150668.608,0
Bulgaria,380892.9,0,0,0,0,0,15,5.437158999999999,3612718,215522.04491,637148.4,382071.9,22625.17,203.77976,16146.874203899999,767233.5865000001,100469.9
Brunei Darussalam,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0
Brazil,696.6447,0,0,0,0,39.37109,167701.93030739998,140.985,1932.483,104.699,211.0031,47.037409999999994,146.5512,2.072843,35.88777,436.616,238.5659
Bolivia (Plurinational State of),1.268934,0,0,0,0,358.3437,669.6712,793.7135,2164.126,1709.809,2626.139,5957.026,6309.983,5021.462,3100.703,4560.766,0.4345463
Barbados,5.030517,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,2.016871
Austria,29118.595999999998,38910.793181,20921.13589,38623.368839999996,46489.23829000001,31176.447575,63478.31662,130926.46411000002,205169.79947,112084.18455999998,325932.64724,130214.19050000001,463106.4202,206547.967,250948.30019999997,323311.28430000006,23535.7082
Australia,0,53.412040000000005,0,122.1962,3.859634,34.518503,681.26,27.97672,406.97699,29.298009999999998,18.75471,86.91665,739.3741100000001,171.90918,53.7247,24.7748,0
Argentina,0,0,0,22.1335,0,0,5,0,4,1.046958,0,3.754458,0,0,0,0,0
Angola,4277.811,2613.819,1627.0220000000002,25395.58,4794.923,123.2844,431.8608,0,813.0922,0,0,40.58775,72.35846,342.5876,382.7278,376.7664,887.4151
Algeria,0,2.9706740000000003,12.13237,619.738,0,270.1238,3,817.4134,43.91361,0,0,0,0,11.18793,9.416592999999999,0,0
